ubigeo,iddpto,idprov,n_facilities_total,n_emergency_active,n_emergency_structural,camas_total,n_public,n_private,n_ccpp_baseline,dist_median_m_baseline,dist_median_m_alternative,pct_ccpp_gt5km_baseline,pct_ccpp_gt20km_baseline,pct_ccpp_gt5km_alternative,pct_ccpp_gt20km_alternative,susalud_latest_year,susalud_atenciones,susalud_atendidos,facility_density_baseline,activity_per_ccpp_baseline,comp_facility_baseline,comp_activity_baseline,comp_access_baseline,hadi_baseline,hadi_quintile_baseline,facility_density_alternative,activity_per_ccpp_alternative,comp_facility_alternative,comp_activity_alternative,comp_access_alternative,hadi_alternative,hadi_quintile_alternative,quintile_shift,classification_change
030406,03,0304,9,9,1,0,9,0,263.0,7875.0,19493.0,68.44,10.27,92.02,48.29,2026.0,15240,5372,3.4220532319391634,57.946768060836504,0.3279828785446763,0.10112359550561797,0.7100053504547886,0.3797,Q2,0.38022813688212925,57.946768060836504,0.5489566613162119,0.10112359550561797,0.8962011771000535,0.5154,Q3,1,worsened 1
100904,10,1009,4,0,1,0,4,0,46.0,20863.0,16254.0,100.0,60.87,84.78,41.3,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.8507223113964687,0.7746,Q4,2.1739130434782608,0.0,0.2696629213483146,0.695024077046549,0.8785446762974853,0.6144,Q4,0,same
220907,22,2209,10,2,1,2,10,0,21.0,4697.0,6818.0,42.86,4.76,61.9,23.81,2026.0,100,94,9.523809523809524,4.761904761904762,0.128143392188336,0.18780096308186195,0.6757624398073836,0.3306,Q2,4.761904761904762,4.761904761904762,0.12493311931514178,0.18780096308186195,0.8282504012841091,0.3803,Q2,0,same
210111,21,2101,4,0,1,0,4,0,451.0,36567.0,13786.0,100.0,97.56,84.26,27.49,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9285714285714286,0.8005,Q5 (Worst),0.22172949002217296,0.0,0.5612627073301231,0.695024077046549,0.8400214018191546,0.6988,Q4,-1,improved 1
010312,01,0103,6,0,0,0,6,0,58.0,16943.0,17042.0,100.0,34.48,100.0,36.21,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.7902621722846442,0.7544,Q4,0.0,0.0,0.7835741037988229,0.695024077046549,0.8657035848047084,0.7814,Q4,0,same
040520,04,0405,5,4,3,51,5,0,52.0,4475.0,5089.0,40.38,7.69,51.92,15.38,2026.0,6292,4268,7.6923076923076925,121.0,0.1653290529695024,0.07169609416800428,0.6979668271803103,0.3117,Q2,5.769230769230769,121.0,0.10486891385767791,0.07169609416800428,0.7846441947565543,0.3204,Q2,0,same
131202,13,1312,7,1,1,4,7,0,66.0,9101.0,9101.0,80.3,15.15,80.3,15.15,2026.0,948,948,1.5151515151515151,14.363636363636363,0.4521134296415195,0.14660246120920278,0.7306046013911183,0.4431,Q3,1.5151515151515151,14.363636363636363,0.35580524344569286,0.14660246120920278,0.7835741037988229,0.4287,Q3,0,same
200605,20,2006,10,0,1,0,10,0,105.0,29554.0,21212.0,92.38,59.05,83.81,50.48,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.8480470840021401,0.7737,Q4,0.9523809523809524,0.0,0.4523809523809524,0.695024077046549,0.8999464954521135,0.6825,Q4,0,same
210709,21,2107,3,1,1,0,3,0,428.0,16955.0,16003.0,93.69,41.59,93.69,40.65,2017.0,218,138,0.23364485981308408,0.5093457943925234,0.5532370251471375,0.2696629213483146,0.8052434456928839,0.5427,Q3,0.23364485981308408,0.5093457943925234,0.5607276618512573,0.2696629213483146,0.8769395398608881,0.5691,Q3,0,same
160108,16,1601,13,5,5,219,12,0,60.0,10131.0,10131.0,81.67,0.0,81.67,0.0,2026.0,59043,19894,8.333333333333332,984.05,0.15382557517388978,0.03424291064740503,0.3175494917067951,0.1685,Q1 (Best),8.333333333333332,984.05,0.0738362760834671,0.03424291064740503,0.3373461744248261,0.1485,Q1 (Best),0,same
100801,10,1008,9,3,1,0,9,0,176.0,14741.0,18540.0,84.66,27.84,92.61,44.89,2018.0,0,0,1.7045454545454544,0.0,0.42964151952915997,0.695024077046549,0.7731407169609417,0.6326,Q4,0.5681818181818182,0.0,0.5259497057249867,0.695024077046549,0.8908507223113965,0.7039,Q4,0,same
040702,04,0407,4,4,1,0,4,0,42.0,2805.0,11440.0,28.57,7.14,69.05,26.19,2026.0,203,88,9.523809523809524,4.833333333333333,0.128143392188336,0.18726591760299627,0.693151417870519,0.3362,Q2,2.380952380952381,4.833333333333333,0.24317817014446227,0.18726591760299627,0.8368111289459604,0.4224,Q3,1,worsened 1
050705,05,0507,4,0,1,0,4,0,212.0,27718.0,18226.0,98.58,90.57,88.21,45.75,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.913322632423756,0.7954,Q4,0.4716981132075472,0.0,0.5382557517388978,0.695024077046549,0.8929909042268592,0.7088,Q4,0,same
040514,04,0405,2,2,0,0,2,0,376.0,11521.0,46540.0,85.64,9.84,100.0,100.0,2018.0,0,0,0.5319148936170213,0.0,0.5366506153023007,0.695024077046549,0.7084002140181915,0.6467,Q4,0.0,0.0,0.7835741037988229,0.695024077046549,0.9882289994649546,0.8223,Q5 (Worst),1,worsened 1
080803,08,0808,3,0,0,0,3,0,516.0,21129.0,22622.0,100.0,57.56,100.0,64.34,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.8448368111289459,0.7726,Q4,0.0,0.0,0.7835741037988229,0.695024077046549,0.9272338148742643,0.8019,Q5 (Worst),1,worsened 1
040504,04,0405,1,1,1,0,1,0,796.0,19863.0,25314.0,94.72,49.12,94.85,64.57,2018.0,0,0,0.12562814070351758,0.0,0.5553772070626003,0.695024077046549,0.8293204922418406,0.6932,Q4,0.12562814070351758,0.0,0.5660781166399144,0.695024077046549,0.9283039058319957,0.7298,Q4,0,same
170204,17,1702,7,0,1,0,7,0,27.0,45678.0,12872.0,100.0,100.0,85.19,7.41,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9668271803103263,0.8133,Q5 (Worst),3.7037037037037033,0.0,0.15248796147672553,0.695024077046549,0.7421080791867308,0.5299,Q3,-2,improved 2
040125,04,0401,4,3,2,0,4,0,77.0,4366.0,5800.0,40.26,1.3,64.94,2.6,2021.0,23,20,3.896103896103896,0.2987012987012987,0.3031032637774211,0.294275013376137,0.6415195291599786,0.413,Q3,2.5974025974025974,0.2987012987012987,0.2231139646869984,0.294275013376137,0.6993044408774746,0.4056,Q3,0,same
200201,20,2002,31,0,1,0,31,0,359.0,61769.0,12366.0,100.0,100.0,89.69,25.63,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9668271803103263,0.8133,Q5 (Worst),0.2785515320334262,0.0,0.5569823434991974,0.695024077046549,0.8349384697699305,0.6956,Q4,-1,improved 1
040505,04,0405,2,2,1,0,2,0,399.0,11025.0,17044.0,87.97,3.01,94.49,42.36,2018.0,0,0,0.5012531328320802,0.0,0.5393258426966292,0.695024077046549,0.6599785981808454,0.6314,Q4,0.2506265664160401,0.0,0.5591225254146602,0.695024077046549,0.8822899946495452,0.7121,Q4,0,same
040806,04,0408,1,1,0,0,1,0,168.0,20680.0,34433.0,91.07,53.57,100.0,83.33,2018.0,0,0,0.5952380952380952,0.0,0.530765115034778,0.695024077046549,0.8370786516853933,0.6876,Q4,0.0,0.0,0.7835741037988229,0.695024077046549,0.9518459069020867,0.8101,Q5 (Worst),1,worsened 1
050619,05,0506,6,0,1,0,6,0,213.0,28261.0,18958.0,100.0,88.73,96.71,43.19,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9085072231139647,0.7938,Q4,0.4694835680751174,0.0,0.5393258426966292,0.695024077046549,0.8855002675227395,0.7066,Q4,0,same
040308,04,0403,2,2,0,0,2,0,79.0,5062.0,35681.0,50.63,3.8,100.0,89.87,2018.0,0,0,2.5316455696202533,0.0,0.37051899411449973,0.695024077046549,0.6672017121455324,0.5776,Q3,0.0,0.0,0.7835741037988229,0.695024077046549,0.9641519529159979,0.8143,Q5 (Worst),2,worsened 2
100604,10,1006,2,0,1,0,2,0,62.0,19288.0,7808.0,93.55,46.77,80.65,0.0,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.8191546281433922,0.764,Q4,1.6129032258064515,0.0,0.337613697164259,0.695024077046549,0.3373461744248261,0.4567,Q3,-1,improved 1
120302,12,1203,28,26,3,9,28,0,240.0,2714.0,8087.0,12.92,0.0,79.58,0.0,2026.0,1486,1199,10.833333333333334,6.191666666666666,0.10379882289994649,0.178705189941145,0.3175494917067951,0.2,Q1 (Best),1.25,6.191666666666666,0.39539860888175493,0.178705189941145,0.3373461744248261,0.3038,Q2,1,worsened 1
230107,23,2301,5,2,1,0,5,0,132.0,10729.0,14620.0,83.33,6.82,81.82,37.12,2020.0,8,6,1.5151515151515151,0.06060606060606061,0.4521134296415195,0.3590155163188871,0.6923488496522204,0.5012,Q3,0.7575757575757576,0.06060606060606061,0.4898341359015516,0.3590155163188871,0.8689138576779026,0.5726,Q3,0,same
200114,20,2001,26,1,2,0,26,0,228.0,12323.0,8600.0,90.35,9.21,80.26,0.44,2025.0,18494,12955,0.43859649122807015,81.1140350877193,0.541466024612092,0.0893525949705725,0.7062600321027287,0.4457,Q3,0.8771929824561403,81.1140350877193,0.4681647940074906,0.0893525949705725,0.675227394328518,0.4109,Q3,0,same
230105,23,2301,2,1,0,0,2,0,30.0,8400.0,31977.0,63.33,6.67,100.0,93.33,2020.0,19,17,3.3333333333333335,0.6333333333333333,0.33146067415730335,0.25842696629213485,0.6904761904761905,0.4268,Q3,0.0,0.6333333333333333,0.7835741037988229,0.25842696629213485,0.9678972712680578,0.67,Q4,1,worsened 1
040517,04,0405,3,3,0,0,3,0,447.0,9223.0,30023.0,83.67,9.17,100.0,89.04,2018.0,0,0,0.6711409395973155,0.0,0.5262172284644194,0.695024077046549,0.7057249866238631,0.6423,Q4,0.0,0.0,0.7835741037988229,0.695024077046549,0.9609416800428037,0.8132,Q5 (Worst),1,worsened 1
021801,02,0218,24,5,6,262,23,1,111.0,12160.0,10837.0,86.49,18.92,80.18,22.52,2026.0,160597,55898,4.504504504504505,1446.8198198198197,0.27875869448903157,0.03103263777421081,0.7421080791867308,0.3506,Q2,5.405405405405405,1446.8198198198197,0.11235955056179775,0.03103263777421081,0.8207597645799893,0.3214,Q2,0,same
